price,bedRooms,pathRooms,sqftLiving,sqftLot,latitude,longitude
420000,3,1,1060,8097,47.7144,-122.351
500000,4,2.25,2030,8517,47.5495,-122.174
258000,5,2,2260,12500,47.3887,-122.286
511000,3,1,1430,3455,47.6873,-122.336
532170,3,2,1360,3090,47.6838,-122.353
282950,3,1,1250,8200,47.3255,-122.304
320000,4,1.75,1760,11180,47.4715,-122.118
255000,5,2.25,2060,8632,47.4877,-122.335
420000,3,2,2020,38332,47.4582,-122.023
370000,3,1.75,1580,7000,47.7209,-122.168
269950,2,1.75,1340,7250,47.408,-122.327
653000,3,2.5,2680,9750,47.7028,-122.231
425000,3,2.5,1120,1100,47.6106,-122.31
470000,4,3,2380,5125,47.5384,-122.376
163500,2,1.5,1050,3419,47.3848,-122.039
560000,3,2.5,1900,8744,47.62,-122.043
585188,3,2.25,2230,10026,47.6647,-122.153
400000,3,2.5,2180,7508,47.7606,-122.336
230000,3,1,1060,10228,47.7481,-122.3
423000,4,2,1970,6480,47.5511,-122.312
465000,3,2.5,2150,4084,47.5488,-122.372
440000,3,2.5,1910,66211,47.5385,-121.911
297000,3,2.5,1940,14952,47.3777,-122.165
470000,3,1,1010,5000,47.675,-122.394
226500,3,1.5,1300,7370,47.3025,-122.37
677900,3,2.5,2440,4587,47.7073,-122.114
425000,3,1,1010,5864,47.5733,-122.381
180250,2,0.75,900,9600,47.4604,-122.339
464000,6,3,2300,3404,47.7067,-122.343
320000,4,2.25,1550,7579,47.354,-122.047
625504,3,2.25,1270,1566,47.6647,-122.284
467000,2,1.5,1320,10800,47.7145,-122.367
686000,4,2.5,2760,6440,47.5836,-122.026
328000,3,2.25,2020,8379,47.3828,-122.023
479950,2,2,1510,6516,47.7076,-122.013
235000,3,1,1430,15246,47.4075,-122.214
655000,2,1.75,1450,15798,47.4497,-122.375
500000,4,2.75,2280,15347,47.5218,-122.164
475000,3,1.5,2480,5280,47.5575,-122.303
1025000,5,4,3760,28040,47.6489,-122.183
410000,4,1,1970,4740,47.6136,-122.303
800000,3,3.5,3830,221284,47.7641,-122.023
210000,2,1,830,6000,47.5308,-122.376
455000,2,1,1430,5000,47.6727,-122.299
225000,3,1,1300,8316,47.3221,-122.216
181000,2,1.5,720,5120,47.5218,-122.357
260000,3,2,1810,7209,47.3656,-122.278
349500,3,1,1400,3538,47.5405,-122.27
245000,3,2.5,1730,7442,47.3507,-122.178
592500,2,2,1420,9191,47.6979,-122.32
693000,4,2.5,2460,4425,47.7048,-122.109
237000,3,1.75,1270,8470,47.4207,-122.29
290000,4,2.5,1700,7280,47.4045,-122.171
285000,3,1,1120,10701,47.5544,-122.358
415000,2,1,1070,4500,47.6802,-122.29
2900000,4,3.25,5050,20100,47.6312,-122.223
1365000,4,4.75,5310,57346,47.7285,-122.042
436000,2,1,1040,7538,47.7107,-122.352
365000,3,2.5,2653,4510,47.4145,-122.166
304900,4,1.75,2600,11325,47.3954,-122.206
467000,5,2.25,2500,13500,47.7564,-122.144
405000,3,1.75,1670,6720,47.7198,-122.193
360000,4,2.5,2160,9528,47.3341,-122.255
580000,4,3,3280,11060,47.5399,-122.181
550000,3,2,1970,4166,47.5717,-122.375
265000,3,2,1320,8959,47.3536,-122.144
446500,3,2.5,2650,7286,47.5084,-122.154
267500,3,1.75,1590,11914,47.4427,-122.274
3075000,4,5,4550,18641,47.6053,-122.077
208633,3,2.5,2040,3810,47.3537,-122
315000,3,2.25,2200,8750,47.476,-122.337
725000,3,1.75,1920,3300,47.6239,-122.298
550000,4,2.75,1800,7750,47.7776,-122.384
610750,4,2.25,2180,7297,47.6459,-122.058
550700,2,1,1010,5000,47.6692,-122.297
665000,4,2.75,3320,10574,47.5376,-122.18
305000,4,2.25,1950,7700,47.4441,-122.125
390000,3,2.5,1930,64904,47.346,-122.157
268750,4,1,800,8775,47.48,-122.336
230000,3,2,1450,11204,47.2639,-122.252
240000,3,1.75,1510,10248,47.2929,-122.371
240500,2,1,1240,12092,47.4957,-122.352
740000,4,2,2050,4400,47.644,-122.319
295000,3,2,1810,10530,47.1913,-122.012
940000,4,2,2490,9525,47.5639,-122.217
260000,4,2.5,1960,5238,47.3483,-122.052
559900,3,2.75,2930,5569,47.7648,-122.164
791500,4,2,1510,3500,47.6794,-122.357
265000,3,1.75,1420,8250,47.7535,-122.354
485000,4,1.75,2560,43995,47.6945,-122.093
320000,2,1,1070,32633,47.4716,-122.078
206600,3,2,1390,13464,47.3581,-122.173
387000,4,1.75,2500,7690,47.7713,-122.307
437500,2,1,990,3120,47.68,-122.353
375000,4,1.75,2200,7475,47.543,-122.28
420000,4,1,1750,9600,47.5759,-122.137
380000,5,2.5,2760,11340,47.4769,-122.141
329500,4,2.5,1820,7912,47.3845,-122.029
604950,3,2.5,2110,5608,47.6743,-122.184
795000,5,2.5,3040,9570,47.5651,-122.164
673000,4,2.5,2990,10400,47.4508,-122.359
315000,4,2.25,2180,10754,47.7711,-122.341
530000,4,2.25,2180,10754,47.7711,-122.341
380000,5,3,3450,9914,47.2813,-122.345
730000,4,2.5,3230,7331,47.5823,-121.97
275000,3,3,1590,7750,47.3624,-122.045
435000,3,1.5,1300,3348,47.592,-122.307
270000,2,1.5,1380,209959,47.7461,-122.195
560000,4,2.25,2550,7800,47.6283,-122.095
799000,4,2.25,2510,11585,47.5483,-122.226
252350,3,2,1650,7352,47.4612,-122.169
385000,4,1.5,2040,10726,47.772,-122.358
330000,3,2.5,1600,26977,47.7736,-121.901
1118000,4,2.5,3840,16619,47.5634,-122.213
530000,5,2.25,2720,8800,47.5976,-122.118
365000,4,2,1940,25600,47.5722,-122.129
557000,3,3.5,1710,2096,47.6055,-122.305
650000,3,3.25,1510,2000,47.5815,-122.402
450000,3,2,1290,1213,47.6609,-122.344
278500,3,2,1570,5250,47.3163,-122.188
364950,4,2.5,1930,6957,47.4309,-122.191
840000,4,3.5,2840,40139,47.401,-122.026
632925,3,2.5,2990,32239,47.7718,-122.095
570000,3,1.75,2910,37461,47.7015,-122.164
563500,4,1.75,2085,174240,47.5753,-121.95
1550000,5,4.25,6070,171626,47.5954,-121.95
482000,2,1,950,3960,47.6885,-122.337
625000,3,1.75,1600,9135,47.5724,-122.179
380000,3,2.5,2280,10255,47.4334,-122.161
375000,2,1,940,5120,47.6073,-122.308
310000,5,1.75,2190,27260,47.4546,-122.337
365000,3,2.5,2200,4052,47.4362,-122.178
1000000,4,2.5,2610,3277,47.6636,-122.33
525000,4,2.5,2450,5280,47.7734,-122.224
749000,4,2.5,1710,9627,47.559,-122.164
578000,3,1.75,2120,10875,47.504,-122.382
196000,3,2.25,2070,11576,47.3417,-122.271
205000,3,1,940,7980,47.3838,-122.289
1030000,3,2.5,3545,9816,47.5534,-122.078
505000,3,2,1260,5460,47.7355,-122.18
475000,5,2.5,2340,7200,47.7206,-122.211
691100,3,2.75,2360,16117,47.5698,-122.121
811000,3,1.75,1870,9897,47.5505,-122.221
705000,3,3,1970,20978,47.3844,-122.438
578000,4,2.5,3140,9225,47.4904,-122.226
348000,3,2.25,2570,8491,47.3759,-122.125
230000,3,2,1510,3413,47.3912,-122.167
359500,4,2.25,2390,11250,47.3305,-122.371
330000,3,1,980,7000,47.7617,-122.357
80000,1,0.75,430,5050,47.6499,-121.909
340500,3,2,2270,28025,47.4857,-122.318
290900,2,2,1610,17600,47.4855,-122.266
1199000,4,2.75,4110,8400,47.717,-122.281
520000,4,2.25,1890,3006,47.5461,-121.998
590000,4,2.75,2910,10650,47.6658,-122.188
525000,3,1.5,1350,6000,47.5275,-122.391
1385000,4,3.25,4860,181319,47.6179,-122.005
295000,4,2.5,2160,7725,47.3078,-122.378
207950,2,2,890,5000,47.5158,-122.264
699900,4,2.75,2810,7302,47.5985,-121.977
1280000,5,2.5,3400,9500,47.5645,-122.082
669950,5,2.5,2820,14062,47.7081,-122.215
397500,3,2,1510,6710,47.7193,-122.216
725000,4,2,2110,4140,47.5836,-122.387
625000,2,1.5,1490,5750,47.5872,-122.39
437500,3,2.5,2120,4500,47.5322,-121.88
342000,3,2,1930,11947,47.3672,-122.151
1197350,4,2.5,2770,7800,47.684,-122.205
529000,3,1,1210,3328,47.6729,-122.363
442000,3,1,1190,5100,47.5346,-122.385
480000,4,2.5,2600,7787,47.4877,-122.139
290000,4,1,1330,8184,47.7343,-122.347
615000,3,1.75,1900,5000,47.5789,-122.393
308000,3,1,1980,39150,47.3818,-122.225
750000,3,2.5,2400,7745,47.6734,-122.173
288000,3,1,1190,7560,47.452,-122.177
515000,5,3,2530,5105,47.7546,-122.341
235000,4,1.5,1690,11054,47.4667,-122.215
727500,2,2,1240,9119,47.6221,-122.193
1600000,6,5,6050,230652,47.6033,-121.943
662000,3,1.75,2500,36947,47.6917,-122.084
270500,3,2.5,1780,7848,47.3608,-122.056
200000,2,1.5,1360,1898,47.2852,-122.19
204000,3,1,1040,7405,47.3105,-122.021
358000,3,2.25,1610,6655,47.4296,-122.161
452000,4,1.75,1570,8268,47.7373,-122.197
595000,2,2,1510,4000,47.6582,-122.345
346900,4,2.5,1970,5106,47.449,-122.205
280000,4,2.5,1560,4350,47.5025,-122.186
375000,3,2.25,2120,18500,47.3914,-122.169
315000,4,2.75,2300,18360,47.4518,-122.16
705000,3,1.75,2180,10221,47.5885,-122.248
451000,3,1.75,1790,9813,47.749,-122.305
261000,2,1,750,8125,47.4727,-122.198
1950000,7,3.5,4640,15235,47.5666,-122.231
331500,4,2.5,2050,10271,47.3628,-122.075
404950,4,2.25,2340,217014,47.2953,-122.083
638700,3,1.75,2080,9162,47.5846,-122.168
671500,5,2.75,2160,4000,47.667,-122.289
405000,2,0.75,1160,15029,47.6929,-121.87
338900,4,2.5,1830,5612,47.3572,-122.015
720000,4,4,3200,7708,47.5816,-121.97
300000,2,1,1220,75794,47.4219,-122.007
530000,4,2.5,2320,5493,47.7727,-122.229
264000,3,1.5,1820,10608,47.3366,-122.306
439000,4,2.25,2060,10070,47.7258,-122.177
900000,3,2.5,3180,12600,47.6366,-122.058
370000,3,2.25,2110,13300,47.3725,-122.06
360000,4,2.5,1840,9611,47.4964,-122.251
240500,3,1.75,1460,10584,47.492,-122.317
515000,4,3,3590,8249,47.2846,-122.341
1220000,4,2.25,3200,15367,47.5494,-122.216
460000,3,1.75,1440,7070,47.6947,-122.125
435500,3,2.25,1450,4789,47.5665,-122.018
531000,2,3,1270,1175,47.6634,-122.34
443500,2,1,940,6804,47.7047,-122.373
223000,3,2,1670,6824,47.3666,-122.084
650000,3,2,1870,3388,47.6372,-122.395
533600,3,2.5,1930,5080,47.5694,-122.001
695000,3,2.75,2540,4694,47.6214,-122.024
425000,3,2.25,1820,8814,47.7162,-122.309
525000,3,2.25,1490,9414,47.6844,-122.113
175000,3,1,1250,9775,47.4474,-121.771
605000,2,1.75,1760,5000,47.682,-122.372
325000,3,1,990,6750,47.7125,-122.331
565000,2,1.75,1330,6000,47.6539,-122.396
426700,3,1.75,2080,7700,47.5375,-122.178
650000,3,2.5,2690,11575,47.7605,-122.267
314500,3,2,2050,13303,47.2681,-122.31
430000,3,2.5,2360,6699,47.5317,-121.853
545000,3,1.75,1680,6200,47.5338,-122.384
597500,3,2,2150,5400,47.555,-122.379
1000000,3,2.5,3180,10492,47.655,-122.124
3070000,3,2.5,3930,55867,47.7022,-122.224
748000,4,3.5,2770,3330,47.6327,-122.109
888000,3,1.5,1250,8710,47.6245,-122.198
475000,3,2.5,1640,5097,47.7522,-122.278
323000,3,1,1290,12231,47.7404,-122.11
306000,3,1.5,1220,1086,47.7049,-122.353
655000,4,2.5,2630,4000,47.6915,-122.381
290000,3,1.5,1950,15954,47.336,-122.319
460000,3,1.75,1550,4708,47.6759,-122.286
664000,4,2.75,2510,11880,47.5427,-122.181
280000,2,1,1010,3000,47.4965,-121.785
1145000,4,3.5,4370,18361,47.544,-121.872
400000,4,1,1420,4875,47.6942,-122.321
802541,5,2.75,2990,6768,47.5462,-122.182
320000,3,2.5,2680,7757,47.2918,-122.346
1484900,5,2.5,4570,19252,47.5553,-122.22
410000,2,1,800,4342,47.6997,-122.316
690000,4,2.5,2900,23488,47.6726,-122.03
225000,3,1.75,1760,26055,47.3664,-122.1
980000,4,2.25,2240,11034,47.5894,-122.195
480000,4,2,2180,10575,47.589,-122.177
130000,2,1,880,9000,47.4672,-122.291
325000,2,1,1060,5703,47.3444,-122.327
440000,3,1.75,1530,7245,47.731,-122.191
550000,4,1.75,2480,14782,47.7646,-122.271
310000,3,1.75,1490,7150,47.5015,-122.124
390000,4,2.5,2340,8548,47.4206,-122.183
243000,3,1.75,1450,12125,47.3575,-122.28
639000,4,2.5,2210,9875,47.6285,-122.025
730000,6,2.25,2660,13579,47.7142,-122.286
267000,3,2,1300,9644,47.3131,-121.998
636000,3,2.5,2140,2770,47.6664,-122.131
320000,3,1.5,1650,9380,47.4525,-122.162
328000,3,1.75,1470,7650,47.4818,-122.161
347500,4,2.5,2156,3562,47.3591,-122.201
365000,4,2.25,2070,8893,47.4388,-122.162
1300000,3,3.25,3400,5979,47.6585,-122.273
233000,3,2,1400,9177,47.3415,-122.272
395000,3,1,1500,4000,47.6921,-122.38
650000,4,1.75,2010,5070,47.5793,-122.402
435000,4,1.5,1510,6460,47.7121,-122.214
950000,3,1.75,2150,4200,47.5671,-122.405
447000,3,1,1370,6001,47.5646,-122.317
699800,2,2.5,2380,6600,47.717,-122.02
850000,3,1.75,1370,3850,47.6374,-122.279
316500,3,1.75,1600,14250,47.3272,-122.355
1310000,2,2.25,3950,3938,47.5912,-122.384
856600,4,2.25,2400,13430,47.5987,-122.178
405600,5,1.5,2830,4000,47.5132,-122.262
330000,3,2,1400,218252,47.7576,-121.934
760000,4,2.5,2430,6099,47.6777,-122.287
341500,3,1.5,1130,7223,47.5089,-122.189
420000,3,2.25,2000,8030,47.6188,-122.114
493000,4,2,1910,2874,47.6101,-122.295
370000,4,2.5,2710,5880,47.3314,-122.172
2250000,5,4.25,4860,9453,47.6196,-122.286
305000,3,1,1250,23680,47.475,-122.11
320000,3,1.5,1240,1221,47.7073,-122.356
650000,6,2.75,3610,10003,47.6261,-122.125
500000,2,1,1280,5400,47.6949,-122.371
460000,4,2,2090,40419,47.4691,-121.993
232500,3,1.5,1940,9887,47.3289,-122.327
737500,4,2.5,3200,36276,47.6304,-121.994
710000,4,2,1740,9000,47.6815,-122.198
470000,3,2.5,2100,4700,47.5341,-121.867
650000,3,2,1340,2720,47.6518,-122.335
1216000,4,2.5,3190,8684,47.5619,-122.162
625000,5,2.5,2990,15085,47.746,-122.218
385200,4,1,1550,7740,47.5222,-122.375
308000,4,2.25,1960,12243,47.3405,-122.058
565000,3,2.75,2390,9966,47.5433,-122.185
581000,3,2.5,2600,4438,47.6799,-122.034
345000,3,1,1250,7210,47.6329,-122.121
625000,4,2.25,2220,36085,47.5839,-121.991
2400000,4,4.25,4890,15188,47.5602,-122.227
310000,3,1.5,1150,3323,47.5707,-122.017
310950,4,2.5,2030,4997,47.393,-122.184
431000,3,1,1810,7200,47.7493,-122.351
175000,4,1,1300,6030,47.4778,-122.286
465750,3,1.5,1260,10350,47.6357,-122.123
659000,4,2.25,2610,24931,47.5771,-122.05
595000,3,1.75,1910,5753,47.6898,-122.327
350000,3,2.25,1780,16290,47.4622,-122.127
270000,4,2.25,1900,8600,47.3102,-122.381
662500,6,2.25,2450,25600,47.6061,-122.117
249900,3,1.75,1380,14000,47.294,-122.281
324500,3,1.75,1920,11340,47.3272,-122.362
430000,2,1.75,1350,4003,47.7176,-122.033
419950,2,1.75,1350,4003,47.7176,-122.033
285000,4,1.75,2510,7440,47.3748,-122.276
332000,4,2.5,2470,7780,47.3337,-122.191
282000,4,1.75,1660,10725,47.5033,-122.3
320000,3,1,1340,5175,47.7321,-122.34
428750,3,1,1620,30736,47.5719,-122.119
456500,4,3.5,2000,2309,47.7027,-122.361
352000,3,2.25,1640,11050,47.4723,-122.121
254000,3,2,2070,9000,47.3085,-122.376
370500,4,2.5,1790,6120,47.4829,-122.128
450000,4,2.75,2980,13260,47.5152,-122.197
425000,3,1,1520,213444,47.5081,-122.093
166600,3,1.75,1150,8690,47.3729,-122.115
539900,3,1.75,1650,10150,47.6963,-122.169
457500,3,2.5,1500,4445,47.5682,-122.005
381156,2,1,1320,3090,47.5517,-122.276
795000,3,2,2920,13650,47.6652,-122.188
785000,4,2.5,3300,10514,47.6323,-122.036
229000,3,1,1020,8100,47.3586,-122.314
200000,4,2,1920,4822,47.5507,-122.381
225000,4,2.25,1800,9350,47.2959,-122.191
720000,3,1.75,2040,4000,47.6675,-122.289
1270000,5,2.5,3200,17204,47.6209,-122.222
700000,5,3.25,2400,3118,47.6094,-122.291
374000,3,1.5,1330,10640,47.7364,-122.193
740000,3,2.5,3000,25341,47.6724,-122.013
209000,3,2,1230,1340,47.526,-122.361
431650,5,2.5,1710,7700,47.5922,-122.146
980000,5,2.5,3160,11470,47.5368,-122.216
660000,3,2.5,2680,28243,47.7637,-122.05
905000,4,3.5,2970,14486,47.5627,-122.215
800000,4,2.5,2570,50308,47.7418,-122.039
839900,4,3.5,3810,13592,47.5134,-122.2
200000,1,1.5,1010,1157,47.5492,-122.372
300000,3,2,1480,6698,47.4614,-122.168
530000,3,1.75,1250,6041,47.69,-122.304
550000,5,2.75,2160,5720,47.5728,-122.304
234000,3,1.75,1420,8738,47.3113,-122.207
615000,4,2.25,2500,10062,47.639,-122.1
205000,3,2,1410,8384,47.3315,-122.263
645000,3,1.75,2070,5500,47.6733,-122.301
290000,5,1.5,2120,7700,47.4599,-122.172
250000,3,2,1440,9220,47.3702,-122.317
255000,3,1.5,1340,8450,47.4405,-122.28
990000,4,2.5,2780,10480,47.6597,-122.204
288400,4,2.5,1860,6687,47.4046,-122.186
420000,3,1.5,2390,4600,47.5383,-122.268
359000,2,2.75,1370,1140,47.7052,-122.343
390000,4,3,2570,262018,47.4417,-122.09
545000,5,2.5,2520,7863,47.7096,-122.199
299900,3,2.25,1560,35026,47.3023,-122.069
891000,4,2,2330,5000,47.6804,-122.358
1200000,3,2,3660,22410,47.6972,-122.4
378000,4,2.5,2790,4650,47.3556,-122.026
565000,4,3,2020,4300,47.6653,-122.372
315000,2,1,970,5665,47.5513,-122.273
971000,5,3.5,4390,10140,47.7174,-122.282
260000,4,1.75,1810,7480,47.3275,-122.361
435000,5,1,1410,6750,47.5453,-122.278
851000,4,2.5,3130,13202,47.5878,-121.976
345500,3,1,1350,8581,47.7612,-122.362
425000,2,1,970,2970,47.6233,-122.319
196500,3,1,1320,9000,47.3461,-122.272
440000,3,1.75,1560,7207,47.7283,-122.222
532500,3,1.75,1330,5000,47.5724,-122.384
265000,3,1,1070,9000,47.4061,-122.33
397500,3,1.25,1510,13737,47.7289,-122.283
765000,4,2.75,2790,10819,47.5515,-122.08
648000,4,2.5,2620,5450,47.6301,-122.019
469500,5,2.5,2970,24759,47.3908,-122.173
237500,3,1.75,1050,7854,47.3011,-122.369
427200,3,1,1030,8400,47.5364,-122.173
718000,5,3,3070,9804,47.5702,-122.128
420000,2,2.75,1760,4139,47.5175,-121.878
379000,2,1,930,5400,47.6971,-122.372
326100,2,1,880,7683,47.7145,-122.361
283000,4,2.75,2130,8560,47.1949,-122.01
484950,3,2.25,1670,5004,47.5688,-122.017
585000,4,2.5,2160,8158,47.6948,-122.328
645000,4,2,2780,11583,47.7293,-122.284
253000,3,2,1490,7651,47.3211,-122.325
270000,3,2,1560,8853,47.4312,-122.171
258000,4,1.75,1730,8320,47.327,-122.361
563000,3,2,1380,5000,47.6807,-122.369
540000,3,2.25,2000,217800,47.5599,-121.911
900000,4,2.25,2460,44431,47.6042,-122.147
429000,2,1,1080,3600,47.6078,-122.291
520000,4,2.25,1870,7700,47.6937,-122.127
475000,3,1.75,1700,8432,47.7221,-122.317
283000,4,1.5,1480,47045,47.4809,-122.3
321500,4,2.5,1930,6228,47.3572,-122.191
375000,3,1.75,960,8106,47.6737,-122.156
349500,3,1.75,1260,7128,47.7263,-122.205
245000,3,1.75,1490,6930,47.3682,-122.179
543115,2,1,1380,5484,47.6382,-122.399
554000,2,2,1920,6045,47.7107,-122.031
980000,4,3,3680,5854,47.6327,-122.395
566000,3,2.5,1560,5259,47.5985,-122.016
218500,2,1,1600,8961,47.3098,-122.21
550000,4,2.5,1940,10500,47.683,-122.114
470000,3,2.25,1780,8784,47.701,-122.172
590000,3,1.75,1560,242629,47.6493,-121.956
465000,4,2.25,2210,8862,47.7725,-122.198
499000,2,1.75,2040,114562,47.4985,-122.092
515000,3,2.25,1920,11500,47.5498,-122.188
716500,3,1.75,1930,5000,47.6582,-122.278
620000,4,2.25,2400,5350,47.6763,-122.37
699000,3,1.75,1670,5375,47.6416,-122.397
528000,4,2.25,1910,8005,47.7259,-122.298
425000,3,1.75,1560,9452,47.5197,-122.18
790000,4,2.75,2840,11900,47.5271,-122.386
399950,3,1,1020,18050,47.5254,-122.043
275000,3,1.5,1410,9000,47.7635,-122.35
550000,3,1,1520,2500,47.6347,-122.352
140000,1,1,730,6890,47.467,-122.215
505000,2,1,1240,57000,47.597,-122.059
360000,3,1,1050,9206,47.7071,-122.301
986000,3,2.5,2380,16080,47.5262,-122.386
356700,2,1,1090,5000,47.5258,-122.378
325000,3,1,1040,7541,47.7565,-122.339
515000,3,2.5,2360,11254,47.3356,-122.333
675000,4,3,2690,28300,47.4458,-122.343
500000,3,2.75,3410,9360,47.4497,-122.147
837700,5,2.75,3010,12611,47.696,-122.102
448000,3,2.25,1530,3056,47.6817,-122.035
575000,4,1.5,2810,7140,47.5252,-122.382
430000,3,1.75,1810,7300,47.7299,-122.192
241000,3,1,1010,9611,47.3006,-122.066
453500,2,1.75,1000,1760,47.6261,-122.355
285000,2,1.5,990,1380,47.7218,-122.356
151000,2,1,720,4222,47.4965,-122.186
200000,3,1,1230,4380,47.5352,-122.361
367000,4,2.5,2960,6219,47.3603,-122.037
285167,3,2.25,2200,8375,47.2626,-122.218
275000,2,1.5,1270,32175,47.3347,-122.304
350900,4,2.5,2540,12843,47.3866,-122.169
660000,4,3.25,3030,9273,47.5747,-122.014
262000,4,2.5,1560,7800,47.514,-122.316
224500,4,1,1430,8355,47.3178,-122.174
1200000,4,1.75,3990,13470,47.5305,-122.131
195000,2,1,1190,27007,47.524,-122.04
515000,3,2.5,3000,8250,47.6191,-122.112
269000,3,1,1690,4250,47.4945,-122.258
219000,2,2,1310,2550,47.3496,-122.022
625000,4,2,2020,6867,47.7,-122.292
380000,5,2,1680,3240,47.5965,-122.311
620000,4,2,1770,7700,47.5916,-122.146
225500,4,2,1440,7950,47.4517,-122.082
510000,4,2.5,2430,5203,47.7402,-122.317
425000,4,2.5,1930,14196,47.7407,-122.097
298900,3,2.5,1830,6162,47.3291,-122.17
699000,4,2.5,3230,40319,47.4856,-122.069
310000,2,1,700,3000,47.6846,-122.346
790000,4,1.75,2460,10061,47.5105,-122.238
435000,6,3.5,2400,8620,47.7152,-122.162
439995,3,1.75,1570,8400,47.76,-122.34
290000,2,0.75,440,8313,47.4339,-122.512
900000,4,2.5,2660,3672,47.6609,-122.324
505000,3,2,1500,2500,47.6748,-122.385
565000,3,2.5,2500,7394,47.7441,-122.173
826000,4,2.5,3060,7140,47.5393,-121.998
925000,4,2.5,3300,101930,47.576,-121.976
545000,2,2,2930,14057,47.4025,-122.463
334950,3,2.5,1620,2930,47.4491,-122.12
655000,3,1,1270,3600,47.6368,-122.37
406000,2,1,880,3000,47.6749,-122.323
277000,2,1,770,8149,47.7458,-122.298
630000,4,3.75,4610,40202,47.4599,-122
525000,4,2.25,1580,7307,47.569,-122.086
949000,4,1.75,2490,7834,47.6851,-122.209
585000,4,1.75,1760,5356,47.679,-122.288
460000,4,2.5,4190,7504,47.4394,-122.114
455000,3,2.5,2090,8653,47.7498,-122.184
485500,4,2.5,2320,3974,47.532,-121.88
100000,2,1,770,17334,47.2997,-122.269
475000,4,3.5,3660,14401,47.3076,-122.396
365000,4,2.5,1570,9600,47.7757,-122.303
234000,3,1.5,1200,11935,47.3434,-122.082
457000,4,3,2800,7845,47.3544,-122.013
250275,2,1,790,11234,47.4413,-122.349
270000,3,1.75,1800,7763,47.3766,-122.184
438000,3,1.75,1650,12940,47.7629,-122.268
645000,4,2.75,2340,6350,47.5559,-122.379
449000,2,1.75,1510,6852,47.7073,-122.012
317000,3,2,1760,11410,47.4528,-122.163
276900,3,1,1270,7566,47.5074,-122.175
682000,5,2.25,2120,4000,47.644,-122.353
295700,4,2.5,1720,5805,47.3286,-122.208
467000,3,2.5,1690,6642,47.6793,-122.033
